cam,dtnt,BB,BO,TO,TB,TS,SB,Top.Roughness,Dist.FW,FPAR,Elevation,isothermal,Veg,Land.Use,Soil.Class
CM-S2-C2,4.8,2,17,0,6,0,17,31,10487.81152,0.295546055,794.2437134,0.485382587,TallEuc,ModifiedNative,5
CM-S2-C3,3.9,3,25,0,7,0,17,31,10487.81152,0.295546055,794.2437134,0.485382587,TallEuc,ModifiedNative,5
CM-S2-C4,4.1,24,18,0,11,8,3,31,9840.134766,0.265870631,798.6337891,0.482471108,TallEuc,ModifiedNative,5
CM-S3-C1,10,0,0,0,44,0,32,11,7604.503906,0.21913822,693.5628662,0.484642774,TallEuc,ModifiedNative,5
CM-S3-C2,7.4,0,0,0,0,0,1,26,9108.740234,0.210672662,708.7142334,0.482208639,TallEuc,ModifiedNative,5
CM-S3-C3,3.4,0,0,0,0,0,0,12,4652.971191,0.25847739,708.1008301,0.479411751,Woodland,Reserve,5
CM-S3-C3_S1,3.4,0,0,7,0,0,11,12,4652.971191,0.25847739,708.1008301,0.479411751,Woodland,Reserve,5
CM-S3-C4,4.8,1,0,0,22,0,12,82,3700.391846,0.200246826,626.3143921,0.487806052,Rainforest,ModifiedNative,5
CM-S3-C5,7.1,0,0,0,19,0,4,15,3260.747559,0.182543427,599.8037109,0.49017635,Rainforest,Reserve,9
CM-S4-C1,11.5,0,0,0,2,0,7,59,7337.339844,0.185569406,226.4027252,0.510917664,Woodland,Reserve,4
CM-S4-C2,11.3,3,0,0,4,0,49,76,6802.399902,0.192736834,263.5917969,0.508920312,Rainforest,Reserve,4
CM-S4-C3,11.3,14,0,0,28,0,3,77,7003.917969,0.213506833,425.2092896,0.499952614,Shurbland,Reserve,9
CM-S4-C4,12.1,7,0,0,25,0,29,18,7575.099121,0.254505605,400.6847229,0.499287337,TallEuc,Reserve,9
CM-S4-C5,10,12,0,0,27,0,1,70,6077.361328,0.232404575,549.1494751,0.489680678,Shurbland,Reserve,13
CM-S5-C2,10.8,0,0,0,0,0,1,106,1734.095825,0.186467379,127.7297592,0.515354633,Rainforest,Reserve,4
CM-S5-C3_S1-2,10.4,5,0,0,5,0,4,44,2382.560791,0.254856199,135.0388794,0.515625,Shurbland,Reserve,4
CM-S5-C4,15.4,1,0,0,19,0,0,70,5546.494629,0.29558897,277.6242676,0.508016646,Grassland,Reserve,11
CM-S5-C5,15.5,0,0,0,4,0,24,65,1753.942749,0.233538538,154.9328003,0.508556306,Rainforest,Reserve,5
CM-S6-C1_S1-3,6.3,14,0,0,40,5,0,59,6985.125977,0.243345916,235.6861725,0.507444918,Grassland,Reserve,4
CM-S6-C2_S1-3,5.1,16,0,0,41,11,13,57,8621.541992,0.21375531,293.7102051,0.502842605,TallEuc,Reserve,11
CM-S6-C3,3.3,1,0,0,3,0,41,56,10560.71387,0.181218043,393.8151245,0.499050766,Rainforest,Reserve,4
CM-S6-C4_S1-3,2.6,8,0,0,32,0,1,79,8139.890137,0.19466804,505.5414429,0.490101993,Grassland,Reserve,4
CM-S7-C1,8.5,0,0,1,23,6,0,19,5769.568848,0.237657711,610.3095093,0.484499604,Woodland,Plantation,5
CM-S7-C2,6.8,0,0,0,0,5,0,18,7685.227051,0.158175245,555.3167725,0.48543787,Human/Other,Plantation,5
CM-S7-C3,6.3,56,0,0,17,1,24,61,8319.407227,0.15629378,531.4572144,0.488315433,Human/Other,Plantation,5
CM-S7-C4,6.6,44,0,0,15,0,2,98,8992.582031,0.19580543,498.4944763,0.492122471,Woodland,Reserve,5
CM-S7-C5,7.8,23,0,0,19,0,1,52,10334.57324,0.21713154,323.3574524,0.501758516,Rainforest,Reserve,4
CM-S8-C1_S1-3,8.2,0,0,2,22,6,10,19,8433.124023,0.19903253,605.1366577,0.482135653,Woodland,ModifiedNative,5
CM-S8-C2,5,1,0,0,16,0,9,110,11164.7168,0.223238572,572.9910889,0.48410055,Human/Other,Plantation,5
CM-S8-C3,3.5,0,0,0,2,0,7,30,13473.52832,0.169833943,556.3075562,0.482509673,Woodland,ModifiedNative,5
CM-S8-C4,3.8,0,0,3,0,23,51,26,13136.00977,0.312983096,556.0419922,0.484419405,Human/Other,Plantation,5
CM-S8-C5,2,0,0,0,5,7,3,27,15424.2373,0.247268215,508.9468994,0.485150039,Human/Other,Plantation,5
CM-S9-C1,3.1,1,0,0,13,0,24,36,20575.51563,0.200643778,479.1976318,0.485732019,Human/Other,Reserve,4
CM-S9-C2,3.8,0,1,0,9,0,10,40,27173.60742,0.17491135,458.4415283,0.484164566,Human/Other,Plantation,5
CM-S9-C3,4.3,12,0,0,0,0,5,34,28270.88477,0.216818929,378.3951721,0.489987493,Woodland,Reserve,5
CM-S9-C4,3.8,0,0,0,1,0,10,34,28270.88477,0.216818929,378.3951721,0.489987493,Woodland,Reserve,5
CM-S9-C5,3.7,1,0,0,1,0,7,16,29312.94922,0.231924102,448.8611145,0.483375549,Human/Other,Plantation,5
HR-C1,2.6,0,0,0,3,0,3,155,8701.338867,0.320154727,77.07183838,0.532223344,TallEuc,Reserve,8
HR-C10,1.7,1,3,0,2,0,0,60,7507.865723,0.341070324,124.7502441,0.533863246,Woodland,Reserve,8
HR-C2,2.5,0,0,0,1,0,1,155,8701.338867,0.320154727,77.07183838,0.532223344,TallEuc,Reserve,8
HR-C3,2.4,0,0,0,14,0,4,155,8701.338867,0.320154727,77.07183838,0.532223344,TallEuc,Reserve,8
HR-C4_S1,2.2,0,0,0,4,0,0,157,7951.025391,0.36546284,196.7115631,0.521540463,Human/Other,ModifiedNative,8
HR-C5,2.3,0,0,0,11,0,2,157,7951.025391,0.36546284,196.7115631,0.521540463,Human/Other,ModifiedNative,8
HR-C6,2.1,0,0,0,3,0,2,155,8701.338867,0.320154727,77.07183838,0.532223344,TallEuc,Reserve,8
HR-C7,2.1,0,0,0,13,0,7,157,7951.025391,0.36546284,196.7115631,0.521540463,Human/Other,ModifiedNative,8
HR-C8,1.7,1,1,1,6,0,2,60,7507.865723,0.341070324,124.7502441,0.533863246,Woodland,Reserve,8
HR-C9,1.8,2,0,0,1,0,0,60,7507.865723,0.341070324,124.7502441,0.533863246,Woodland,Reserve,8
HR-GT,1.6,0,1,0,0,0,0,60,7507.865723,0.341070324,124.7502441,0.533863246,Woodland,Reserve,8
HR-TR,1.5,0,0,0,0,0,3,60,7507.865723,0.341070324,124.7502441,0.533863246,Woodland,Reserve,8
JC-CEN,2.1,1,0,0,2,0,0,99,9934.985352,0.286773086,152.0562744,0.525157213,TallEuc,Reserve,8
JC-CO-1,1.8,0,0,0,2,0,0,118,10677.59668,0.304444134,81.40960693,0.533799231,Human/Other,Urban,8
JC-CO-2,2.2,0,0,0,15,0,2,99,9934.985352,0.286773086,152.0562744,0.525157213,TallEuc,Reserve,8
JC-CO-3_S1-6,2.5,0,0,0,0,0,3,99,9934.985352,0.286773086,152.0562744,0.525157213,TallEuc,Reserve,8
JC-CO-4,2.1,0,0,0,1,0,0,99,9934.985352,0.286773086,152.0562744,0.525157213,TallEuc,Reserve,8
