"cam","BB","BO","TO","TB","TS","SB","Top.Roughness","Dist.FW","FPAR","Elevation","isothermal","Veg","Land.Use","Soil.Class"
"45_1",0,0,0,1,0,0,32,5068.30322265625,0.193422749638557,823.169982910156,0.477238297462463,"Rainforest","Reserve","4"
"45_2",0,0,0,0,0,0,171,4838.17529296875,0.181088909506798,754.971008300781,0.481859713792801,"Rainforest","Reserve","4"
"46_1",0,0,0,0,0,0,175,14475.333984375,0.237055465579033,834.72705078125,0.47892239689827,"TallEuc","ModifiedNative","4"
"47_1",0,0,0,5,0,0,31,8931.650390625,0.26080521941185,520.489013671875,0.508614957332611,"TallEuc","ModifiedNative","4"
"47_2",0,0,0,4,0,0,94,8713.767578125,0.195762142539024,535.35205078125,0.50599730014801,"Woodland","Reserve","4"
"47_3",0,0,1,2,0,1,66,9562.0908203125,0.20306085050106,486.814697265625,0.507302641868591,"TallEuc","Reserve","4"
"48_1",0,0,0,6,0,2,28,8995.548828125,0.246523186564445,642.178894042969,0.496556848287582,"Human/Other","Plantation","4"
"48_2",0,0,0,0,0,6,41,8999.099609375,0.207186833024025,587.007629394531,0.502175033092499,"Shurbland","Reserve","4"
"48_3",0,0,0,0,2,0,53,11761.3369140625,0.211876347661018,806.151306152344,0.477001875638962,"Human/Other","Plantation","4"
"48_4",0,0,0,2,1,0,81,11013.6875,0.193812042474747,676.862670898438,0.492561101913452,"TallEuc","Reserve","4"
"48_5",0,0,0,5,0,3,28,9751.4384765625,0.197635844349861,672.43359375,0.494651943445206,"Rainforest","Reserve","4"
"49_1",0,0,0,3,0,2,89,4248.5,0.234893754124641,837.939819335938,0.479956060647964,"Shurbland","Reserve","4"
"49_3",0,0,0,10,1,6,89,4248.5,0.234893754124641,837.939819335938,0.479956060647964,"Shurbland","Reserve","4"
"5_1",0,0,3,0,0,0,119,5538.220703125,0.280753344297409,331.001098632812,0.52447122335434,"TallEuc","ModifiedNative","4"
"5_2",2,0,0,2,0,0,131,6530.29638671875,0.358295202255249,283.774505615234,0.529328167438507,"Woodland","Reserve","4"
"50_1",0,0,0,0,0,0,166,4370.6318359375,0.222675204277039,593.576782226562,0.495230674743652,"TallEuc","Reserve","4"
"51_1",0,0,0,1,0,0,35,10869.623046875,0.325192928314209,109.349647521973,0.514090180397034,"Woodland","Reserve","11"
