"","cam","X","lon","lat","Land.Use","Veg","meanDiurnal","isothermal","meanTwetQ","meanTdryQ","precipseas","precipwarmQ","Elevation","FPAR","Pop.Density","Dist.FW","Dist.Road","Fire.Freq","Top.Roughness","dtnt","count_unique_cats","IDImg","unImg","IPC","Un.Est","Coat"
"35","28_1",35,147.83431,-41.90927,"Reserve","TallEuc",8.38916683197021,0.481859087944031,3.79999995231628,10.1999998092651,0.14671579003334,232,898.561828613281,0.30682384967804,0,8079.8779296875,0,0,43,7.9,NA,NA,NA,NA,NA,"BB"
"36","28_2",36,147.81593,-41.90144,"Reserve","TallEuc",8.91333293914795,0.49326691031456,4.40000009536743,10.8000001907349,0.151005268096924,216,830.322570800781,0.313412487506866,0,8091.505859375,243.407730102539,0,138,8.3,NA,NA,NA,NA,NA,"BB"
"37","29_1",37,147.9961,-41.82071,"Modified","TallEuc",10.8341665267944,0.532391488552094,14.6000003814697,14.1999998092651,0.134921222925186,156,252.96647644043,0.42557829618454,0.0266408529132605,770.901733398438,546.711791992188,0,31,9.5,NA,NA,NA,NA,NA,"O"
"38","29_2",38,148.01059,-41.87344,"Reserve","TallEuc",10.5316667556763,0.530829966068268,14.3999996185303,14,0.134574294090271,163,336.349090576172,0.338489025831223,0,7146.85009765625,444.737335205078,0,33,10.4,NA,NA,NA,NA,NA,"O"
"39","29_4",39,147.98841,-41.8287,"Reserve","Human/Other",10.7816667556763,0.531116604804993,14.3999996185303,14,0.134279474616051,156,391.433746337891,0.402559012174606,0,2060.26635742188,174.169937133789,0,30,8.6,NA,NA,NA,NA,NA,"O"
"40","29_5",40,148.01402,-41.85804,"Modified","TallEuc",10.5233335494995,0.529609143733978,14.3000001907349,13.8999996185303,0.131263956427574,165,325.649230957031,0.36094543337822,0,5037.515625,0,0,21,10.4,NA,NA,NA,NA,NA,"O"
"41","3_1",41,147.52299,-41.33706,"Modified","Shurbland",9.3658332824707,0.494500190019608,5,13.6000003814697,0.340825438499451,208,641.335266113281,0.237799510359764,0,12301.9873046875,0,0,24,6.1,NA,NA,NA,NA,NA,"TB"
"42","3_2",42,147.53466,-41.33148,"Reserve","TallEuc",9.09333324432373,0.489415138959885,4.80000019073486,13.3000001907349,0.342144459486008,215,741.001403808594,0.235170096158981,0,13608.96875,0,0,95,7.2,NA,NA,NA,NA,NA,NA
"43","3_3",43,147.54816,-41.34314,"Modified","TallEuc",9.14999961853027,0.49035370349884,4.69999980926514,13.3000001907349,0.339025259017944,213,717.655151367188,0.239053413271904,0,13308.0458984375,0,0,126,8.1,NA,NA,NA,NA,NA,"B"
"44","3_4",44,147.64556,-41.41732,"Reserve","TallEuc",8.34083366394043,0.473910987377167,3.59999990463257,12,0.308438867330551,230,904.232055664062,0.283023536205292,0,13503.0576171875,0,0,19,6.9,NA,NA,NA,NA,NA,"B"
"45","3_5",45,147.64756,-41.39541,"Reserve","TallEuc",8.23499965667725,0.471649497747421,3.59999990463257,11.8999996185303,0.3124720454216,232,894.348571777344,0.234393984079361,0,12327.2666015625,245.330963134766,0,104,8,NA,NA,NA,NA,NA,NA
"46","3_6",46,147.6352,-41.35359,"Reserve","TallEuc",8.23583316802979,0.471697211265564,3.70000004768372,12.1000003814697,0.325625717639923,232,883.058166503906,0.226728454232216,0,11770.06640625,0,0,23,7.1,NA,NA,NA,NA,NA,"B"
"47","3_7",47,147.67437,-41.34815,"Reserve","Woodland",8.32916641235352,0.474596381187439,4,12.3000001907349,0.330943882465363,232,860.261779785156,0.284080922603607,0,8234.912109375,0,0,25,4.3,NA,NA,NA,NA,NA,"B"
"48","30_1",48,147.94851,-41.71969,"Modified","TallEuc",9.36916637420654,0.503718614578247,6.80000019073486,11.8000001907349,0.122902490198612,206,674.779235839844,0.305472910404205,0,7486.1240234375,0,0,27,9.1,NA,NA,NA,NA,NA,"TB"
"49","30_2",49,147.93821,-41.72063,"Reserve","TallEuc",9.51416683197021,0.506072700023651,6.90000009536743,12,0.124420277774334,200,643.795349121094,0.301355421543121,0,7014.38671875,0,0,21,9.4,NA,NA,NA,NA,NA,"O"
"50","32_1",50,147.60045,-41.62915,"Modified","TallEuc",10.2483329772949,0.51012110710144,5.40000009536743,13.6000003814697,0.253952324390411,188,648.014892578125,0.314386636018753,0.042305838316679,7760.35595703125,0,0,50,1.2,NA,NA,NA,NA,NA,"TB"
"51","33_3",51,147.56085,-41.628,"Modified","TallEuc",9.64833354949951,0.498879700899124,4.69999980926514,11.3999996185303,0.256263047456741,218,703.005310058594,0.345175117254257,0,10792.65625,0,0,48,3.8,NA,NA,NA,NA,NA,"TB"
"52","34_1",52,148.09739,-41.56365,"Modified","Woodland",10.2483329772949,0.523141086101532,14.3000001907349,14,0.11799032241106,210,371.515472412109,0.396452128887177,0.816577434539795,2060.580078125,0,0,52,3.6,NA,NA,NA,NA,NA,"TB"
"53","35_2",53,148.09447,-41.50661,"Reserve","TallEuc",10.3508329391479,0.52675998210907,14.8999996185303,14.6999998092651,0.121835224330425,202,247.863967895508,0.285449802875519,0,7881.68115234375,0,1,59,6.3,NA,NA,NA,NA,NA,"B"
