cam,dtnt
LH-S5-C2_S1,3.1
LH-S5-C3,4.3
LH-S5-C3_S1,4.3
LH-S5-C4,5.6
LH-S5-C4_S1,5.6
LH-S5-C5,7.1
LH-S6-C1,5
LH-S6-C2,5.6
LH-S6-C2_S1,5.6
LH-S6-C3,5.3
LH-S6-C3_S1,5.3
LH-S6-C4,5.7
LH-S6-C5,5.3
LH-S7-C1,7.3
LH-S7-C1_S1,7.4
LH-S7-C2,9.2
LH-S7-C3,8.2
LH-S7-C3_S1-3,8
LH-S7-C3_S4,8.1
LH-S7-C4,5.2
LH-S7-C4_S1,6.9
LH-S7-C4_S2-3,6.9
LH-S7-C5,6.9
LH-S7-C5_S1,6.9
LH-S8-C1,9.7
LH-S8-C1_S1,9.7
LH-S8-C2,10.6
LH-S8-C2_S1,10.6
LH-S8-C3,10.4
LH-S8-C3_S1,10.4
LH-S8-C4_S1,10.7
LH-S8-C4_S2-4,10.7
LH-S8-C5,9.1
LH-S8-C5_S1,9.1
LH-S9-C1,8.8
LH-S9-C1_S1,8.1
LH-S9-C2,8.9
LH-S9-C3,9
LH-S9-C3_S1-2,9
LH-S9-C5,8.3
MR-N1,6.2
MR-N2,10.3
MR-N3,10.7
MR-N4,5.3
MR-N5,1.7
MR-S10-C1,3.1
MR-S10-C1_S1,3.1
MR-S10-C1_S2,3.1
MR-S10-C2,1.9
MR-S10-C2_S1-2,1.9
MR-S10-C3_S1,3
MR-S10-C3_S2-4,3
MR-S10-C4,3.7
MR-S10-C5,4.8
MR-S1-C1,11.8
MR-S1-C2,11.9
MR-S1-C3,11.4
MR-S1-C4,6.1
MR-S1-C4_S1,6.1
MR-S1-C5,6.1
MR-S1-C5_S1,6.1
MR-S2-C1,2.6
MR-S2-C2,3.4
MR-S2-C2_S1,3.4
MR-S2-C3,4.6
MR-S2-C3_S1,4.2
MR-S2-C3_S2-3,4.2
MR-S2-C4,7
MR-S2-C4_S1,7
MR-S2-C5,6.2
MR-S2-C5_S1,6.2
MR-S3-C1,10.2
MR-S3-C1_S1,10.5
MR-S3-C2,10.2
MR-S3-C2_S1,10.2
MR-S3-C3,8.3
MR-S3-C4,8
MR-S3-C5,6.1
MR-S4-C1,10.2
MR-S4-C2,11.3
MR-S4-C3,11.7
MR-S4-C3_S1,11.7
MR-S4-C4,11.5
MR-S4-C5,11.5
MR-S5-C1,13.2
MR-S5-C2,13
MR-S5-C2_S2-3,12.2
MR-S5-C3,12.4
MR-S5-C4,13.7
MR-S5-C5,12.7
MR-S5-C5_S1,12.7
MR-S6-C1,12.3
MR-S6-C1_S1,12.2
MR-S6-C2,2.9
MR-S6-C2_S3,9.6
MR-S6-C3,11.3
MR-S6-C3_S1,11.3
MR-S6-C3_S2,11.3
MR-S6-C4,9.8
MR-S6-C4_S1,10.1
MR-S6-C5,3
MR-S6-C5_S1,7.4
MR-S7-C1,5.4
MR-S7-C1_S1-4,5.4
MR-S7-C2,6.3
MR-S7-C3,7.7
MR-S7-C4,8.9
MR-S7-C5,9
MR-S7-C5_S1-2,9
MR-S8-C1,6.5
MR-S8-C2,5.7
MR-S8-C3,5.8
MR-S8-C3_S1,6
MR-S8-C4,6.6
MR-S8-C5,6.6
MR-S8-C5_S1,6.3
MR-S9-C1_S1-5,6.1
MR-S9-C2,5.3
MR-S9-C3,4
MR-S9-C3_S1,4
MR-S9-C3_S2,4
MR-S9-C4,3.2
MR-S9-C4_S1,3.2
MR-S9-C5_S1-4,4.6
PW-N1,3.2
PW-N2,4
PW-N3,9.7
PW-N4,22
PW-N5,20.2
PW-S10-C1,21.6
PW-S10-C2,20.8
PW-S10-C2_S1-3,20.6
PW-S10-C3,20.5
PW-S10-C4,21.6
PW-S10-C4_S1,21.5
PW-S10-C5,24.8
PW-S10-C5_S1,24.8
PW-S1-C1,7.1
PW-S1-C2,6.5
PW-S1-C2_S1,6.5
PW-S1-C3,7.4
PW-S1-C4,5.7
PW-S1-C5,4.6
PW-S2-C1,4.2
PW-S2-C2,4.5
PW-S2-C3,2.4
PW-S2-C4,2.7
PW-S2-C5,2
PW-S3-C1,5.8
PW-S3-C2,4.7
PW-S3-C2_S1,6.3
PW-S3-C2_S2-4,6.3
PW-S3-C3,4.1
PW-S3-C3_S1-3,4.7
PW-S3-C4,3.4
PW-S3-C4_S1-3,3.5
PW-S3-C5,2.9
PW-S3-C5_S1,2.9
PW-S3-C5_S3-4,2.9
PW-S4-C1_S1,6.3
PW-S4-C1_S2-6,5.6
PW-S4-C2,6.2
PW-S4-C2_S1,6.2
PW-S4-C3,7
PW-S4-C3_S1,7
PW-S4-C4,5.4
PW-S4-C4_S1-3,5.4
PW-S4-C5,6.3
PW-S5-C1,8.7
PW-S5-C1_S1,8.7
PW-S5-C2,6.9
PW-S5-C3,6.7
PW-S5-C4,5.9
PW-S5-C4_S1-4,5.9
PW-S5-C5,7.7
PW-S6-C1,8.8
PW-S6-C2,10.1
PW-S6-C2_S1-4,10.1
PW-S6-C3,10.6
PW-S6-C4,8.6
PW-S6-C5,10.9
PW-S7-C1,12.9
PW-S7-C1_S1-4,12.9
PW-S7-C2,11.8
PW-S7-C2_S1,11.8
PW-S7-C3,11.4
PW-S7-C3_S1,11.4
PW-S7-C4,8.3
PW-S7-C4_S1,11.6
PW-S7-C5,8.3
PW-S8-C1,17.2
PW-S8-C2,18.2
PW-S8-C2_S1,18.3
PW-S8-C2_S4-5,18.2
PW-S8-C3,17.9
PW-S8-C4,18
PW-S8-C4_S1,18
PW-S8-C5,18.2
PW-S9-C1,22.6
PW-S9-C1_S1,22.6
PW-S9-C2,21.9
PW-S9-C3,21.8
PW-S9-C4,24
PW-S9-C5,22.7
SV-N1,7.7
SV-N2,14
SV-N3,1.1
SV-N4,10.1
SV-N5,7.6
SV-S10-C1,14.8
SV-S10-C1_S1,14.8
SV-S10-C2,15.5
SV-S10-C2_S1,15.5
SV-S10-C3,15.3
SV-S10-C3_S1,15.3
SV-S10-C4,13.9
SV-S10-C5,19.5
SV-S10-C5_S1,15.9
SV-S1-C1,4.8
SV-S1-C2_S1,8.5
