camera,status,loc,ft,s0.date,s1.rd,s1.date,s1.pt,s2.rd,s2.date,s2.pt,s3.rd,s3.date,s3.pt,s4.rd,s4.date,s4.pt,s5.rd,s5.date,s5.pt,s6.rd,s6.date,s6.pt,s7.rd,s7.date,s7.pt,s8.rd,s8.date,s8.pt,,
BF-S1-C5,1,b,w,NA,NA,NA,NA,NA,NA,NA,NA,15/12/2020,NA,161,25/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S2-C1,1,r,w,13/08/2019,161,21/01/2020,o,160,29/06/2020,o,169,15/12/2020,o,161,25/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S2-C2,1,b,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/05/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S2-C3,1,r,i,13/08/2019,161,21/01/2020,o,160,29/06/2020,o,169,15/12/2020,o,68,25/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S2-C4,1,r,w,13/08/2019,111,21/01/2020,o,75,29/06/2020,o,39,15/12/2020,o,161,25/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S2-C5,1,b,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/05/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S3-C1,1,r,w,15/08/2019,132,23/01/2020,o,134,1/07/2020,o,67,17/12/2020,o,161,27/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S3-C2,1,r,i,15/08/2019,155,23/01/2020,c,159,1/07/2020,o,158,17/12/2020,o,161,27/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S3-C3,1,g,w,NA,NA,23/01/2020,NA,118,1/07/2020,o,30,17/12/2020,o,155,27/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S3-C4,1,g,w,NA,NA,23/01/2020,NA,130,1/07/2020,o,169,17/12/2020,o,161,27/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S3-C5,1,r,i,15/08/2019,102,23/01/2020,o,154,1/07/2020,c,168,17/12/2020,o,161,27/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S4-C1,1,r,w,15/08/2019,31,23/01/2020,o,160,1/07/2020,o,169,17/12/2020,o,161,27/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S4-C2,1,r,w,15/08/2019,161,23/01/2020,o,156,1/07/2020,o,149,17/12/2020,o,161,27/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S4-C3,1,r,i,15/08/2019,160,23/01/2020,o,159,1/07/2020,o,169,17/12/2020,o,161,27/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S4-C4,1,r,w,15/08/2019,160,23/01/2020,o,106,1/07/2020,o,136,17/12/2020,l,152,27/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S4-C5,1,r,i,15/08/2019,156,23/01/2020,o,160,1/07/2020,o,169,17/12/2020,l,160,27/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S5-C1,1,b,b,16/08/2019,159,23/01/2020,o,160,1/07/2020,o,139,17/12/2020,o,152,27/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S5-C2,1,r,b,16/08/2019,151,23/01/2020,c,105,1/07/2020,c,169,17/12/2020,o,159,27/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S5-C3,1,r,i,16/08/2019,127,24/01/2020,l,141,1/07/2020,o,170,18/12/2020,o,101,28/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S5-C4,1,b,w,NA,NA,24/01/2020,NA,6,2/07/2020,o,162,18/12/2020,o,159,26/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S5-C5,1,r,i,16/08/2019,158,24/01/2020,o,160,2/07/2020,o,161,18/12/2020,o,161,28/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S6-C1,1,r,w,15/08/2019,138,23/01/2020,c,79,1/07/2020,o,125,17/12/2020,o,161,27/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S6-C2,1,r,w,15/08/2019,161,23/01/2020,o,148,1/07/2020,o,169,17/12/2020,o,161,27/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S6-C3,1,r,w,15/08/2019,137,23/01/2020,o,159,1/07/2020,o,169,17/12/2020,l,161,27/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S6-C4,1,r,w,15/08/2019,161,23/01/2020,o,160,1/07/2020,o,169,17/12/2020,l,161,27/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S6-C5,1,r,i,15/08/2019,156,23/01/2020,o,157,1/07/2020,o,169,17/12/2020,o,106,27/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
